country,iso,Year,yearend,region,subregion,Number of Abortions,abortionrate,perc_p_ending_in_a,spontaneous,datatype,datasource,complete,classification,modelused,marriedonly,notes
United States of America,840,2004,2004,Europe and Northern America,North America,839226,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, New Hampshire, and West Virginia"
United States of America,840,2005,2005,Europe and Northern America,North America,820151,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, New Hampshire, and Louisiana"
United States of America,840,2005,2005,Europe and Northern America,North America,820151,,,No,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
United States of America,840,2005,2005,Europe and Northern America,North America,1206200,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2006,2006,Europe and Northern America,North America,1242200,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2006,2006,Europe and Northern America,North America,852385,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,Excludes California and New Hampshire
United States of America,840,2006,2006,Europe and Northern America,North America,852385,,,No,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
United States of America,840,2007,2007,Europe and Northern America,North America,827609,,,No,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
United States of America,840,2007,2007,Europe and Northern America,North America,827609,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, Maryland, and New Hampshire"
United States of America,840,2007,2007,Europe and Northern America,North America,1209600,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2008,2008,Europe and Northern America,North America,1212400,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2008,2008,Europe and Northern America,North America,825564,,,No,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
United States of America,840,2008,2008,Europe and Northern America,North America,824441,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, Maryland, and New Hampshire"
United States of America,840,2009,2009,Europe and Northern America,North America,1151600,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2009,2009,Europe and Northern America,North America,783551,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, Maryland, and New Hampshire"
United States of America,840,2010,2010,Europe and Northern America,North America,764808,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, Maryland, and New Hampshire"
United States of America,840,2010,2010,Europe and Northern America,North America,1102670,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2011,2011,Europe and Northern America,North America,729499,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, Maryland, and New Hampshire"
United States of America,840,2011,2011,Europe and Northern America,North America,1058490,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2012,2012,Europe and Northern America,North America,698564,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, Maryland, and New Hampshire"
United States of America,840,2012,2012,Europe and Northern America,North America,1011000,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2013,2013,Europe and Northern America,North America,663818,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, Maryland, and New Hampshire"
United States of America,840,2013,2013,Europe and Northern America,North America,958700,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2014,2014,Europe and Northern America,North America,926200,,,No,Study,Jones and Jerman 2017,,,Yes,All women,
United States of America,840,2014,2014,Europe and Northern America,North America,652302,,,No,Official Statistics,U.S. Department of Health and Human Services,Incomplete,Acknowledged incomplete,Yes,,"Excludes California, Maryland, and New Hampshire"
United States of America,840,2015,2015,Europe and Northern America,North America,899500,,,No,Study,"Jones, Witwer, and Jerman 2019",,,Yes,All women,
United States of America,840,2016,2016,Europe and Northern America,North America,874080,,,No,Study,"Jones, Witwer, and Jerman 2019",,,Yes,All women,
United States of America,840,2017,2017,Europe and Northern America,North America,862300,,,No,Study,"Jones, Witwer, and Jerman 2019",,,Yes,All women,
